CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U65990DD1988PTC009781,KHYATI COMMODITIES AND TRADING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,64300000.00,61986250.00,1988-02-02,"Office No.141, Center Point,   Somnath,Daman,Daman,Daman and Diu,396210-India",Unlisted,Amalgamated,daman and diu,Indian,65990,Finance
U85500DD2025NPL010069,PRABHAVSHAALI PRODHOGIKI AUR PARBHANDHAN COUNCIL,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,10000.00,2025-03-31,"C/O ASPIERACH DAMANIA,SURVEY NO. 547/2,,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,85500,"Community, personal and Social Services"
U72200DD2000PLC002846,WEBNET INFOWAYS LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,10000000.00,10000000.00,2000-04-10,"OFFICE NO. 104, CENTER POINT,   SOMNATH JUNCTION, DABHEL,,DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,72200,Business Services
U74992DD2007PTC004663,RADHA MADHAV HOLDINGS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,20000000.00,12100000.00,2007-09-25,"50/9A, Daman Industrial Estate,   Village, Kadaiya,,Nani Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,74992,Business Services
U74999DD2017NPL009804,NITYAPUSTA EDUSPORTS FOUNDATION,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-07-04,"63/4 NR. COASTAL HIGHWAY   VILLAGE BHAMTI,MOTI DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,74999,Business Services
L25209DD1992PLC009784,TOKYO PLAST INTERNATIONAL LTD,ROC Goa,Company limited by shares,Non-government company,Public,250000000.00,95014000.00,1992-11-18,"363/1(1,2,3), SHREE GANESH INDUSTRIAL ESTATE   KACHIGAM ROAD,DAMAN,Daman,Daman and Diu,396210-India",Listed,Active,daman and diu,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U15511DD1994PTC001607,ROLEX DISTILLERIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,5000000.00,200.00,1994-06-16,"9 KANIYAKUMARISARVODAYA SOCIETY   TIN PATTI NANI,DAMAN,Daman and Diu,000000-India",Unlisted,Strike Off,daman and diu,Indian,15511,Manufacturing (Food stuffs)
U01451DD1993PTC001451,DHANI HOTELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,10000000.00,7420000.00,1993-10-20,"MAHARAJA SUPER MARKETOPP POLICE TATION   NANI DAMAN,U T OF DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Strike Off,daman and diu,Indian,01451,Agriculture and Allied Activities
U67190DD2011PTC004689,LAABH FOREX & CONSTRUCTION PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,3000000.00,3000000.00,2011-01-06,"HOUSE NO. 5/105(8)-4, PARSIWADA,   MAIN BAZAR,DIU,Daman and Diu,362520-India",Unlisted,Active,daman and diu,Indian,67190,Finance
U23209DN2002PTC000165,AXIOMATIC PETROCHEM PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,200000.00,100000.00,2002-06-04,"MADHURAM VANMALI COLONY,B/H OM HOSPITAL   SAMARVARNS SILVASSA 396230,NA,Daman and Diu,000000-India",Unlisted,Strike Off,daman and diu,Indian,23209,"Manufacturing (Metals and Chemicals, and products thereof)"
