CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01262AR2023PTC014042,RAMLE BANGO AGRO FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,10000.00,2023-11-21,"Village and Block Ramle Bango,lower siang,Pasighat,East Siang,Arunachal Pradesh,791102-India",Unlisted,Active,arunachal pradesh,Indian,01262,Agriculture and Allied Activities
U94910AR2024NPL014107,FAITHCITY A.CHIK FOUNDATION,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,30000.00,2024-03-09,"TNT Complex,P Sector,Nirjuli,Papum Pare,Arunachal Pradesh,791109-India",Unlisted,Active,arunachal pradesh,Indian,94910,"Community, personal and Social Services"
U01611AR2023PTC014049,HAYULIANG FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2023-11-28,"Building No- NFHS-06/153,Hayuliang Bazar,Hayuliang,Papum Pare,Arunachal Pradesh,792104-India",Unlisted,Active,arunachal pradesh,Indian,01611,Agriculture and Allied Activities
U10200AR2010PTC008313,PATKAI TECHNOLOGIES & MINING COMPANY PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2010-09-07,"c/o Capital Enterprises, C Sector,   Bora Pani Bazar,,Naharlagun,Papum Pare,Arunachal Pradesh,791110-India",Unlisted,Active,arunachal pradesh,Indian,10200,Mining and Quarrying
U40100AR2022PTC013770,NYIRMIN RENEWABLE ENERGY PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,10000.00,10000.00,2022-07-06,"Room-9, ESD, RCC (RESI),   Papu Nallah,Naharlagun,Papum Pare,Arunachal Pradesh,791110-India",Unlisted,Active,arunachal pradesh,Indian,40100,"Electricity, Gas and Water companies"
U40108AR2008PTC008266,MEENA HYDROPOWER AND INFRASTRUCTURE PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,0.00,2008-06-13,"1ST FLOOR MEENA COMPLEX   BARAPANI BAZAR, C-SECTOR,NAHARLAGUN,Papum Pare,Arunachal Pradesh,791110-India",Unlisted,Strike Off,arunachal pradesh,Indian,40108,"Electricity, Gas and Water companies"
U20132AR2023PTC013927,EAST SIANG RUBBER PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,100000.00,2023-06-14,"H No E 52 Village Rolung,PoPs Ruksin Dis EastSiang,Pasighat,East Siang,Arunachal Pradesh,791102-India",Unlisted,Active,arunachal pradesh,Indian,20132,"Manufacturing (Metals and Chemicals, and products thereof)"
U85100AR2025NPL014229,NYIJIK NYEKAM FOUNDATION,ROC Shillong,Company limited by guarantee,Non-government company,Private,0.00,0.00,2025-03-13,"Modirijo 6KM Itanagar,Papum Pare,Itanagar,Papum Pare,Arunachal Pradesh,791111-India",Unlisted,Active,arunachal pradesh,Indian,85100,"Community, personal and Social Services"
U72900AR2022PTC013763,WOLFPACK MEDIA WORKS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-06-21,"2nd FLOOR, ECHO OF ARUNACHAL BUILDING   VIP ROAD,ITANAGAR,Papum Pare,Arunachal Pradesh,791111-India",Unlisted,Active,arunachal pradesh,Indian,72900,Business Services
U27310AR2013PTC008398,SHREE SALASAR INDUSTRIES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,290000000.00,286130000.00,2013-09-10,"NH 52A,VILL:LEKHI,NAHARLAGUN,Papum Pare,Arunachal Pradesh,791110-India",Unlisted,Active,arunachal pradesh,Indian,27310,"Manufacturing (Metals and Chemicals, and products thereof)"
U45303AR2002PTC006772,DIYUM GAMNIA CONSTRUCTION PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,800000.00,250000.00,2002-03-01,"D  SECTORNAHARLAGUN   PAPUMPARE,ARUNACHAL PRADESH,Arunachal Pradesh,000000-India",Unlisted,Strike Off,arunachal pradesh,Indian,45303,Construction
U70109AR2022PTC013810,DAWN LIT REALTY PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-12-28,"C/o Tage Yaku,Gurudwara Road Hapoli,Ziro,Lower Subansiri,Arunachal Pradesh,791120-India",Unlisted,Active,arunachal pradesh,Indian,70109,Real Estate and Renting
U86909AR2024NPL014192,DEOMALI LIFE CARE FOUNDATION,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-11-11,"M/S M S SUM TEA STALL,,BAZAR, DEOMALI, ARUNACHAL,Deomali,Tirap,Arunachal Pradesh,792129-India",Unlisted,Active,arunachal pradesh,Indian,86909,"Community, personal and Social Services"
U01100AR2021PTC013639,DIYUN FARMERS PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,50000.00,2021-02-17,"C/O MUKUT KR HAJO,   MADHUPUR-I,,DIYUN,Lohit,Arunachal Pradesh,792103-India",Unlisted,Active,arunachal pradesh,Indian,01100,Agriculture and Allied Activities
U62099AR2023PTC014009,TOSSNBET PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-09-04,"C/O TABA TAJ, CHULYU,LOWER SUBANSIRI,Ziro,Papum Pare,Arunachal Pradesh,791119-India",Unlisted,Active,arunachal pradesh,Indian,62099,Business Services
U01132AR1995PTC004376,PEONG TEA CO PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,20200.00,1995-02-24,"P.O. PEONG   DIST. LOHIT,PEONG,Arunachal Pradesh,000000-India",Unlisted,Strike Off,arunachal pradesh,Indian,01132,Agriculture and Allied Activities
U01132AR1995PTC004504,NAMPONG TEA CO PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,102000.00,1995-07-12,"JAIRAMPURP O  JAIRAMPUR   DIST  CHANGLANG,ARUNACHAL PRADESH,Changlang,Arunachal Pradesh,000000-India",Unlisted,Strike Off,arunachal pradesh,Indian,01132,Agriculture and Allied Activities
U55101AR1979PTC001194,CHOWKHAM SAW AND VENEER MILLS PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,3000000.00,2250000.00,1979-10-18,"CHOWKHAM,CHOWKHAM,Arunachal Pradesh,000000-India",Unlisted,Inactive for e-filing,arunachal pradesh,Indian,55101,Trading
U55209AR2019OPC013561,CHOCKI VENTURES (OPC) PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2019-08-07,"C/O Lobsang Lama Nehru Market   Opp. Tawang post office, Tawang,TAWANG,Tawang,Arunachal Pradesh,790104-India",Unlisted,Strike Off,arunachal pradesh,Indian,55209,Trading
U01409AR2020PTC013632,ANJAW AGRO ORGANIC PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-12-14,"RAIKONG, MOHIKONG,   P.O- HAYULIANG,,ANJAW,Anjaw,Arunachal Pradesh,792102-India",Unlisted,Active,arunachal pradesh,Indian,01409,Agriculture and Allied Activities
U01500AR2024PTC014115,KUDUM DUMLO FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,10000.00,2024-05-07,"Vill- Tassar,Palin Block, Dist- Kurung Kumey,Palin,Kurung Kumey,Arunachal Pradesh,791118-India",Unlisted,Active,arunachal pradesh,Indian,01500,Agriculture and Allied Activities
U01611AR2023PTC013958,KWYI VALLEY NAVKRISHAK FARMERS PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,220000.00,2023-06-29,"C/o Tar Nitin, Radhpu,Pistana, Deed,Ziro,Lower Subansiri,Arunachal Pradesh,791120-India",Unlisted,Active,arunachal pradesh,Indian,01611,Agriculture and Allied Activities
U01611AR2023PTC013980,BAMENGAGRO FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,110000.00,2023-07-20,"C/O PACHA TARA E14 FOREST,COLONY TYPE III SEPPA,Seijosa,East Kameng,Arunachal Pradesh,790103-India",Unlisted,Active,arunachal pradesh,Indian,01611,Agriculture and Allied Activities
U10100AR2016PTC013434,IKAR MINES AND MINERALS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-08-12,"POLO COLONY,NAHARLAGUN,Papum Pare,Arunachal Pradesh,791110-India",Unlisted,Active,arunachal pradesh,Indian,10100,Mining and Quarrying
U40101AR2010PTC008300,TT POWER & PROJECT DEVELOPERS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,300000.00,2010-03-09,"TT COMPLEX   NEAR POLICE STATION,NAHARLAGUN,Arunachal Pradesh,791110-India",Unlisted,Active,arunachal pradesh,Indian,40101,"Electricity, Gas and Water companies"
U19204AR2023PTC013950,KASSH AND BIOFUEL PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,1000000.00,2023-06-27,"5/1 ANYA COLONY,PO/PS- BANDERDEWA, PAPUM PARE,Balijan,Papum Pare,Arunachal Pradesh,791123-India",Unlisted,Active,arunachal pradesh,Indian,19204,"Manufacturing (Metals and Chemicals, and products thereof)"
U70101AR2004PTC007324,NIDO ENERGY SYSTEMS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,85000000.00,83921800.00,2004-02-11,"D SECTORNAHARLAGUN,PAPUMPARE,Arunachal Pradesh,000000-India",Unlisted,Active,arunachal pradesh,Indian,70101,Real Estate and Renting
