CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U24100GJ2011PTC065125,UNITED COPCHEM PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000.00,100000.00,2011-04-23,"206- SOLITAIRE PLAZA, OPP. MEGHDOOT PETROL PUMP   SHAHIBAUG ROAD,AHMEDABAD,Ahmedabad,Gujarat,380004-India",Unlisted,Strike Off,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U24100GJ2012PTC069332,CONCEPTS HYGIENE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,3000000.00,427500.00,2012-03-12,"OFFICE, 1101 AARON SPECTRA,   OPP, RAJPATH CLUB, RAJPATH RANGOLI ROAD,, BODAKDEV,AHMEDABAD,Ahmedabad,Gujarat,380054-India",Unlisted,Active,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U24100GJ2012PTC071556,SAGAR INFRACHEM PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-08-16,"Flat No. A-2/304 GREEN ACRES,   NEAR AUDA LAKE, OFF  PRAHLADNAGAR GARDEN,,,SATELLITE,Ahmedabad,Gujarat,380015-India",Unlisted,Active,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U24100GJ2012PTC071937,YAGNIK CHEMICAL PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-09-12,"7, SHANTRUNJAY TENAMENT, OPP. MUNISHRUVRAT FLAT,   NR. PRAJAPATI VADI,,MEHSANA,Mahesana,Gujarat,384002-India",Unlisted,Active,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U24100GJ2012PTC071986,TRIVENI AROMATICS AND PERFUMERY PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-09-17,"136, PANCHARATNA BUILDING,   GIDC CHAR RASTA, G.I.D.C.,VAPI,Valsad,Gujarat,396195-India",Unlisted,Strike Off,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U24100GJ2012PTC073158,GROWMED LIFECARE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2012-12-28,"2 , RAJVI SAPPHIRE, MR. SARNAM SOCIETY   NR. BASANT BIHAR, GALA GYMKHANA ROAD , B,OPAL,AHMEDABAD,Gujarat,380058-India",Unlisted,Active,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U24100GJ2012PTC073180,AARAV SALT & CHEMICALS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2012-12-31,"B-42, AAKASH TOWER,   JUDGES BUNGLOW ROAD, BODAKDEV,AHMEDABAD,Ahmedabad,Gujarat,380015-India",Unlisted,Active,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909GJ1999PLC036559,BOOM MARKETING LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Public,2500000.00,7000.00,1999-09-09,"212, AMARDEEP , 2, RAJPUT PARARAJKOT 360 001,NA,Rajkot,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,51909,Trading
U24100GJ2013PTC074231,MAXWELL ADDITIVES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000.00,100000.00,2013-03-28,"E -94, Sardar Industrial Estate   Ajwa Road,Vadodara,Vadodara,Gujarat,390019-India",Unlisted,Active,gujarat,Indian,24100,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909GJ1999PTC036943,SAMAGRA HANDICRAFTS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000.00,0.00,1999-12-01,"AMIKUNJ,ATPOSTBHUJODITAL.BHUJ,DIST.KUTCH,NA,Kachchh,Gujarat,000000-India",Unlisted,Strike Off,gujarat,Indian,51909,Trading
