CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U52520LH2022PTC011305,LADAKHI FARMER AGRITECH PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,10000.00,10000.00,2022-12-14,"C/O Tsultim Gyatso Kalon, Kyagar   Village, Nubra Valley,Ladakh,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,52520,Trading
U45203LH2013PTC003854,MURTAZA CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-05-01,"38 THRUMSA   KARGIL BRU,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Strike Off,ladakh,Indian,45203,Construction
U93000LH2013PTC003890,LAXMINARAYANTARA FOREX PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,5000000.00,5000000.00,2013-05-28,"NEAR HOTEL OMASILA,   CHANSPA ROAD,,LADAKH,Leh,Ladakh,194101-India",Unlisted,Strike Off,ladakh,Indian,93000,"Community, personal and Social Services"
U52399LH2022PTC011300,LAMSAL PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,2500000.00,10000.00,2022-09-07,"Chamba Complex   Opp SNM Hospital,Leh,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,52399,Trading
U85300LH2020NPL011253,RIGJUNG CHARITABLE FOUNDATION,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-03-09,"HOUSE NO 76   WHITE HOUSE,CHOGLAMSAR,LEH,Ladakh,194104-India",Unlisted,Active,ladakh,Indian,85300,"Community, personal and Social Services"
U45400LH2022PTC011293,TAKOO INFRASTRUCTURE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-02-15,"C/O-MOHD HUSSAIN HOLIYAL   DRASS BAROO COLONY,KARGIL,Kargil,Ladakh,194102-India",Unlisted,Active,ladakh,Indian,45400,Construction
U40100LH2021PTC011284,SILK ROUTE ENERGY PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,2200000.00,2200000.00,2021-11-09,"SHALAK YOURTUNG,LEH LADAKH,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,40100,"Electricity, Gas and Water companies"
U51909LH2021PTC011268,SHAGARAN ENTERPRISES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-03-10,"C/o Ashraf Ali, Hotel Green Land   Kargil, Baroo Chowk,Kargil,Kargil,Ladakh,194103-India",Unlisted,Strike Off,ladakh,Indian,51909,Trading
U74999LH2018PTC010434,CHANGTHANGI LENA PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,500000.00,2018-05-03,"C/O SAJJAD HUSSAIN S/O AKHOON MOHD ALI   PASHKUM SAMAR,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,74999,Business Services
U31102LH1985PLC000747,FIVE STAR ELECTRONICS LIMITED,ROC Jammu,Company limited by shares,Non-government company,Public,1000000.00,35000.00,1985-03-06,"ROOM NO.1(ANNEXE)HOTEL YAKTAILLEH,LADAKH,JAMMU AND KASHMIR,Ladakh,000000-India",Unlisted,Strike Off,ladakh,Indian,31102,Manufacturing (Machinery and Equipments)
U92490LH2020PTC011260,MOUNTAIN INSTITUTE FOR SPORTS AND TRAINING PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,400000.00,30000.00,2020-10-26,"C/O JIGMEET STOBDAN , K-SAR GYEPHELING   VILLAGE CHOGLAMSAR,LEH,Ladakh,194101-India",Unlisted,Strike Off,ladakh,Indian,92490,"Community, personal and Social Services"
U01110LH2021PTC011273,STENDEL FED FARMERS PRODUCER COMPANY LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,100000.00,2021-05-15,"C/o SKALZANG DORJEY, MANEY TSELDING   Shop. No.7, Near bus Station Leh,LEH,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,01110,Agriculture and Allied Activities
U01100LH2022PTC011287,RANGYUL ORGANIC PRODUCER COMPANY LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,200000.00,2022-01-05,"C/O Mohammad kazim   Vill.-kargil,kargil,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,01100,Agriculture and Allied Activities
U45300LH2018PTC010341,ALSHAJAR CONSTRUCTION PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-03-21,"C/o Mohd Shah, Prantee , PO - Panikhar   Block - Taisuru ,,KARGIL,Kargil,Ladakh,194403-India",Unlisted,Active,ladakh,Indian,45300,Construction
U45209LH2020PTC011251,TARU ENTERPRISES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,170000.00,2020-01-09,"C/o TSERING PHUNCHOK, GYAMDU   TARU,LEH,LEH,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,45209,Construction
U63030LH2022OPC011301,ASIA RIDES (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2022-09-16,"C/O RIGZIN ANGCHOK CHANGRIPA   FYANG (GAWOON) LEH,LADAKH,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,63030,"Transport, storage and Communications"
U85300LH2020NPL011263,WAVE RZAMDUS FOUNDATION,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,10000.00,2020-11-12,"C/O GHULAM MOHD, THASGAM DRASS P/AT   BIAMATHANG,KARGIL,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,85300,"Community, personal and Social Services"
U45500LH2018PTC010505,GOMA BUILDERS & DEVELOPERS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-06-16,"C/o MOHD SADIQ GURBA GOMA KARGIL   KARGIL LADAKH JAMMU KASHMIR 194103,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,45500,Construction
U15490LH2022PTC011306,LADAKH BITES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-12-22,"C/o Sonam Phunchok, Phunchok Tsering   Shey Shashi,Leh,Leh,Ladakh,194201-India",Unlisted,Active,ladakh,Indian,15490,Manufacturing (Food stuffs)
U45202LH2018PTC010335,CHORALA CONSTRUCTION PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-03-20,"STANZIN JIGMAT S/O PUNCHOK MORUP   KARSHA ZANSKAR,KARGIL,Kargil,Ladakh,194102-India",Unlisted,Active,ladakh,Indian,45202,Construction
U55209LH2021PTC011286,NERAM HOSPITALITIES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2021-12-30,"Shop No. 6, Nimalung   Old Leh Road,Leh,Leh,Ladakh,194101-India",Unlisted,Under process of striking off,ladakh,Indian,55209,Trading
U70109LH2021OPC011274,ZILLDAAR ENGINEERING CONSTRUCTION (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2021-06-15,"KHARBOO JUSGUND KARGIL JAMMU & KASHMIR,JAMMU,Kargil,Ladakh,194102-India",Unlisted,Active,ladakh,Indian,70109,Real Estate and Renting
U50404LH2013PTC003784,LADAKH MOTOR GARAGE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2013-01-31,"98-SANKAR   POST OFFICE LEH,LEH,Leh,Ladakh,194101-India",Unlisted,Strike Off,ladakh,Indian,50404,Trading
U55101LH2008PTC002959,SABOO RESORTS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,15500000.00,11600000.00,2008-12-23,"ZOPTA   SABOO,LEH,Ladakh,194101-India",Unlisted,Strike Off,ladakh,Indian,55101,Trading
U55209LH2020OPC011265,TRUSTED WANDERER CAFE (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2020-12-17,"C/O MORUP NAMGYAL,   UPPER SKAMPARI,,LEH,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,55209,Trading
U55209LH2020PTC011264,GANGZUR ADVENTURE LODGE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,20000000.00,17000000.00,2020-12-11,"89, Upper Namshan   Stok Jammu and Kashmir,Leh,Leh,Ladakh,194101-India",Unlisted,Under Liquidation,ladakh,Indian,55209,Trading
U92100LH2021PTC011276,TRISHNA PRODUCTIONZ PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-06-29,"C/O. SONAM TSESPAL   RANBIRPUR,LEH,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,92100,"Community, personal and Social Services"
U51909LH2020PTC011256,GLOBALGURU INITIATIVES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,10000.00,2020-06-22,"H.No. 130, Housing Colony,   Leh UT, Ladakh LH 194101 IN,Ladakh,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,51909,Trading
U51909LH2020PTC011252,DRUK INDIA IMPEX PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-01-15,"C/O RINCHEN PHUNCHOK, HOUSE NO. 65   OLTHANG PA, YOURTUNG, LEH LADAKH,YOURTUNG,LEH,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,51909,Trading
U45400LH2014PTC004218,MOHDALI CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2014-08-06,"CHUTUMAIL DOKS   YOURBALTAK KARGIL,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Strike Off,ladakh,Indian,45400,Construction
U51399LH2001PTC002125,NUBRA MARKETING AND TRADING PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2001-01-15,"OPTICIANOLD BUS STAND   LEHYU LADAKH,JAMMU AND KASHMIR,Ladakh,000000-India",Unlisted,Strike Off,ladakh,Indian,51399,Trading
U45200LH2011PTC003419,NCON INFRATECH PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2011-12-16,"MAIN MARKET, KARGIL,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Strike Off,ladakh,Indian,45200,Construction
U45203LH2022PTC011289,KHARUL CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,30000.00,2022-01-20,"C/O KHURSHID AHMAD, APATI   TUMAIL COLONY,,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,45203,Construction
U45309LH2022PTC011291,ZOJILA INFRASTRUCTURES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-01-28,"C/o TAJUD DIN NAQVI NAGVI HOUSE   NEAR PETROL PUMP KURBATHAUNGH,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,45309,Construction
