CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01114MZ2019PTC013355,ZOFRESH FARMS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-09-24,"C/O HMANGAIHZUALI V, HOUSE NO. T-23   TUIKHUAHTLANG,AIZAWL,Aizawl,Mizoram,796001-India",Unlisted,Strike Off,mizoram,Indian,01114,Agriculture and Allied Activities
U01611MZ2024PTC013731,TLAWNG THLANG ORGANIC FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,10000.00,2024-12-19,"HOUSE NO. B 24, VENGCHHAK,,DREAMLAND,Reiek,Mammit,Mizoram,796501-India",Unlisted,Active,mizoram,Indian,01611,Agriculture and Allied Activities
U10307MZ2024PTC013724,DAIFIM PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-11-18,"C/O-JOHN LALCHHANMAWIA,H/No 308A/23, ZONUAM,Tlangnuam (Part),Aizawl,Mizoram,796009-India",Unlisted,Active,mizoram,Indian,10307,Manufacturing (Food stuffs)
U20293MZ2006PTC008233,ZOCRAFTS BAMBOO PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,0.00,2006-11-22,"F-46, HRANTHANGA COLONY   LOWER COLONY,AIZAWL,Aizawl,Mizoram,796007-India",Unlisted,Strike Off,mizoram,Indian,20293,Manufacturing (Wood Products)
U45202MZ2008PTC008250,JR BUILDERS AND CONSTRUCTIONS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,2000000.00,0.00,2008-10-01,"ZALAWMA BUILDING   ZARKAWT,AIZAWL,Aizawl,Mizoram,796001-India",Unlisted,Strike Off,mizoram,Indian,45202,Construction
U52290MZ2024PTC013692,SAFIA LOGISTICS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-05-15,"C/O ZACHHINGI,ZACHHINGI,BUILDING,PARKKAWN,VENGLAI,Tlangnuam (Part),Aizawl,Mizoram,796001-India",Unlisted,Active,mizoram,Indian,52290,"Transport, storage and Communications"
U64990MZ2024PLN013665,KIFA WEALTH MANAGEMENT NIDHI LIMITED,ROC Shillong,Company limited by shares,Non-government company,Public,1000000.00,1000000.00,2024-01-22,"108D MUALPUI,AIZAWL,,Tlangnuam (Part),Aizawl,Mizoram,796001-India",Unlisted,Active,mizoram,Indian,64990,Finance
U74999MZ2018PTC013318,ZAUCHA CONSTRUCTION PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-04-18,"C/O ZACHHINGI, PARKKAWN, NEAR   COSMOPOLITAN SCHOOL VENGLAI,KOLASIB,Kolasib,Mizoram,796081-India",Unlisted,Active,mizoram,Indian,74999,Business Services
U01100MZ2020PTC013374,CHAMPHAI ORGANIC PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,10000.00,2020-10-16,"NEAR PRESBYTERIAN ENGLISH MEDIUM SCHOOL   TLANGSAM,CHAMPHAI,Champhai,Mizoram,796321-India",Unlisted,Active,mizoram,Indian,01100,Agriculture and Allied Activities
U01100MZ2021PTC013394,PURE ORGANIC HONEY BEE HARVEST PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,50000.00,2021-07-15,"C/o V L RAI, MAUBAWK,AIZAWL,Aizawl,Mizoram,796001-India",Unlisted,Active,mizoram,Indian,01100,Agriculture and Allied Activities
