CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01100NL2011PLC008305,FLORA & FAUNA AGRO FARMING LIMITED,ROC Shillong,Company limited by shares,Non-government company,Public,500000.00,500000.00,2011-09-21,"Sharon Complex, House No.215, 1st Floor   Opp. State Bank of India, Chumukedima,Dimapur,Dimapur,Nagaland,797112-India",Unlisted,Active,nagaland,Indian,01100,Agriculture and Allied Activities
U01110NL2021PTC013621,VALLES AGRO FED PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,137500.00,2021-12-15,"C/O K BENDANGWATI AO ,HOUSE NO 47A   VILL-DIPHUPAR E KHEL,PO & PS-DIPHUPAR,DIMAPUR,Dimapur,Nagaland,797112-India",Unlisted,Active,nagaland,Indian,01110,Agriculture and Allied Activities
U01611NL2023PTC013840,AMAHATOR LIHYONG LUTHSARU PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,249000.00,2023-05-11,"Yingphire Baptist Church Commercial Building,,Medical Ward, Kiphire Town,,Kiphire,Kiphire,Nagaland,798611-India",Unlisted,Active,nagaland,Indian,01611,Agriculture and Allied Activities
U63030NL2020PTC013511,ONLINE EXPRESS LOGISTICS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-02-18,"H.NO. 18C, 21/2   MILE, DAROGAPATHAR VILLAGE,DIMAPUR,Dimapur,Nagaland,797112-India",Unlisted,Strike Off,nagaland,Indian,63030,"Transport, storage and Communications"
U10792NL2023PTC013882,LITHANRO PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,100000.00,2023-08-11,"H/NO -90B , WARD -8, LANE,SEIRUZHA COLONY,Chumukedima,Dimapur,Nagaland,797103-India",Unlisted,Active,nagaland,Indian,10792,Manufacturing (Food stuffs)
U36991NL1986PTC002503,NOKZANG VAILEY VENEER MILL PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,251000.00,1986-03-25,"P.O. Lokon,,Dist. Mon,Mon,Nagaland,000000-India",Unlisted,Strike Off,nagaland,Indian,36991,Manufacturing (Others)
U41000NL2025PTC014066,BLU-HORIZON CONSTRUCTION PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,2000000.00,2000000.00,2025-04-18,"P.NO.H7.127,D.NO.293B-3M1,KHERMAHAL POLICE POINT,Dimapur,Dimapur,Nagaland,797112-India",Unlisted,Active,nagaland,Indian,41000,Construction
U20212NL1984PTC002179,BLUE VALLEY FOREST PRODUCTS PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,300000.00,1984-06-05,"TIZITMON,NAGALAND,Mon,Nagaland,000000-India",Unlisted,Strike Off,nagaland,Indian,20212,Manufacturing (Wood Products)
U47722NL2024PTC013961,TOOR RETAIL PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-04-30,"C-113, LOWER CHANDMARI,Kohima,Kohima,Nagaland,797001-India",Unlisted,Active,nagaland,Indian,47722,Trading
U70101NL2002PTC006785,YANTHAN & ASSOCIATES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,2500000.00,120000.00,2002-03-28,"C O P W D COLONYDIMAPUR,NAGALAND,Dimapur,Nagaland,797112-India",Unlisted,Strike Off,nagaland,Indian,70101,Real Estate and Renting
