CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01100ML2019PTC013718,SAWKHER AGRO PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2019-12-31,"C/O NATHANIEL THANGKHIEW, OPP. CHURCH OF   GOD, NONGKSEH, BLOCK-VI, UPPER SHILLONG,,SHILLONG,East Khasi Hills,Meghalaya,793005-India",Unlisted,Strike Off,meghalaya,Indian,01100,Agriculture and Allied Activities
U15491ML1997PTC005154,MEGHA INDUSTRIES & AGRO PRODUCTS PVT LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,5000000.00,2224000.00,1997-08-21,"14TH MILE TAMUL KUCHI, G  S ROAD   RI BHOI,BYRNIHAT,Meghalaya,793101-India",Unlisted,Active,meghalaya,Indian,15491,Manufacturing (Food stuffs)
U16009ML2000PTC006184,SHAKTI TOBACCO PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,3000.00,2000-05-29,"MA VILLAGARIKHANA   SHILLONG,MEGHALAYA,East Khasi Hills,Meghalaya,793003-India",Unlisted,Strike Off,meghalaya,Indian,16009,Manufacturing (Food stuffs)
U55101ML1994PTC004148,ABCO ENTERPRISES PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,7500000.00,6816000.00,1994-06-10,"JAIL ROADSHILLONG   EAST KHASI HILLS,MEGHALAYA,Meghalaya,783001-India",Unlisted,Active,meghalaya,Indian,55101,Trading
U55101ML2001PTC006572,HOTEL ELDORADO PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,16500000.00,10000000.00,2001-07-11,"PAYAL CINEMA HALL BUILDINGTHANA ROAD,SHILLONG,Meghalaya,793001-India",Unlisted,Active,meghalaya,Indian,55101,Trading
U55101ML2014PTC008559,EFFICIENT HOTELS INDIA PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,107000000.00,42012900.00,2014-02-14,"HOTEL POLO TOWERS ARCADE   70, POLOGROUND,SHILLONG,East Khasi Hills,Meghalaya,793001-India",Unlisted,Active,meghalaya,Indian,55101,Trading
U55101ML2021PTC013783,BURJ RESORT PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-06-10,"C/O WELLBORN WARLARPIH,  35 LAITMAWSIANG   NEAR CATHOLIC CHURCH,LAITMAWSIANG,East Khasi Hills,Meghalaya,793108-India",Unlisted,Active,meghalaya,Indian,55101,Trading
U55101ML2022PTC013874,UMIAM INFRA PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,200000.00,2022-07-27,"MEERA KHARKINGOR   3 MANDANRTING EAST KHASI HILLS,Shillong,East Khasi Hills,Meghalaya,793007-India",Unlisted,Active,meghalaya,Indian,55101,Trading
U55101ML2023PTC014007,MANIKYA CROMEEN PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-04-12,"C/o Heritage Club, Tripura Castle,Cleve Colony,Shillong,East Khasi Hills,Meghalaya,793003-India",Unlisted,Active,meghalaya,Indian,55101,"Transport, storage and Communications"
U55101ML2024PTC014099,TERRAMOR RESORTS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,50000.00,2024-05-13,"C/O HOM NONGRUM,,MAWIONG UMJAPUNG, BLOCK A,Shillong,East Khasi Hills,Meghalaya,793016-India",Unlisted,Active,meghalaya,Indian,55101,"Transport, storage and Communications"
U55101ML2024PTC014146,HILLS AND CANYON HOTELS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-11-29,"Flat No W 103 Ferndale,Apartment MG Road,Shillong,East Khasi Hills,Meghalaya,793001-India",Unlisted,Active,meghalaya,Indian,55101,"Transport, storage and Communications"
U72900ML2022PTC013910,LASHAI PRODUCTIONS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,250000.00,2022-12-16,"Shop 14, Level 2,Mawlai Shopping Complex,Shillong,East Khasi Hills,Meghalaya,793008-India",Unlisted,Under process of striking off,meghalaya,Indian,72900,Business Services
U99999ML1965PLC013368,SUKHSAGAR SHIPPING PRIVTE LIMTED.,ROC Shillong,Company limited by guarantee,Non-government company,Public,0.00,0.00,1965-11-25,"NA,NA,East Khasi Hills,Meghalaya,NA-India",Unlisted,Inactive for e-filing,meghalaya,Indian,99999,"Community, personal and Social Services"
U99999ML1966PLC013567,SHREE SADGURU BENEFIT COMPANY PRIVATE LIMITED,ROC Shillong,Company limited by guarantee,Non-government company,Public,0.00,0.00,1966-09-02,"NA,NA,East Khasi Hills,Meghalaya,NA-India",Unlisted,Inactive for e-filing,meghalaya,Indian,99999,"Community, personal and Social Services"
U01611ML2025PTC014167,ACHAPARA ORGANIC FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,500000.00,2025-02-28,"UPPER RONGKHON, P.O:,RONGKHON, P.S: TURA,Lower Chandmari,West Garo Hills,Meghalaya,794002-India",Unlisted,Active,meghalaya,Indian,01611,Agriculture and Allied Activities
U79110ML2023OPC014010,MONKINMOTION (OPC) PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,One Person Company,1000000.00,100000.00,2023-04-06,"C/O NIRJAL MOLAY SUJIT,MAWBAH, SHILLONG,Shillong,East Khasi Hills,Meghalaya,793002-India",Unlisted,Active,meghalaya,Indian,79110,"Community, personal and Social Services"
