CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U30009PY1990PLC000667,AUM COMPUTER TECHNOLOGIES LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Public,450000.00,291000.00,1990-02-16,"AUM HOUSE59 AVOCAT CHINNATHAMBI STREET   KURUCHIKUPPAM,PONDICHERRY,Pondicherry,605012-India",Unlisted,Strike Off,pondicherry,Indian,30009,Manufacturing (Machinery and Equipments)
U31400PY2012PTC002704,ECO ENERGY BATTERY PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,100000.00,2012-06-15,"H.No: 36, Villianur Main Road Pavala Nagar   Ellaipillaichavadi,PONDICHERY,Pondicherry,Pondicherry,605005-India",Unlisted,Strike Off,pondicherry,Indian,31400,Manufacturing (Machinery and Equipments)
U62091PY2023PTC009023,LCTT SOFTWARE PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-04-24,"NO.21,MARIYAN COMPLEX,4TH FLOOR,CUDDALORE ROAD,MUDALIARPET,Pondicherry,Pondicherry,Pondicherry,605004-India",Unlisted,Active,pondicherry,Indian,62091,Business Services
U62099PY2025PTC009358,DOLT ENTERPRISE PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,10000.00,2025-01-03,"No.122, 8th Cross, Aravindar Nagar,Mouroungapakkam, Pondicherry,Pondicherry,Pondicherry,Pondicherry,605004-India",Unlisted,Active,pondicherry,Indian,62099,Business Services
U74999PY2018PTC008338,GGRM INNOVATIONS INDIA PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,10000000.00,1000000.00,2018-10-17,"3, SECOND CROSS   ANNA NAGAR,PUDUCHERRY,Pondicherry,Pondicherry,605005-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2020PTC008608,INFOROUTE SOLUTIONS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1500000.00,10000.00,2020-09-25,"1st  Cross Street.   Senthadarai Nagar,,PONDICHERRY,Pondicherry,Pondicherry,605003-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U15510PY1991PLC000735,COASTAL DISTILLERY LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Public,2400000.00,0.00,1991-02-12,"46, 1ST CROSSVENKATANAGAR   PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Amalgamated,pondicherry,Indian,15510,Manufacturing (Food stuffs)
U72900PY2008PTC002239,SPEED CLIC TECHNOLOGIES PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2008-11-27,"NO 67,CAZIER STREET,Pondicherry,Pondicherry,605001-India",Unlisted,Strike Off,pondicherry,Indian,72900,Business Services
U72900PY2016PTC008059,DOOZE NETWORK PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,100000.00,2016-04-22,"NO.1,SMV PURAM WEST   6th CROSS STREET, VILLIANUR,PUDUCHERRY,Pondicherry,Pondicherry,605110-India",Unlisted,Strike Off,pondicherry,Indian,72900,Business Services
U72900PY2021OPC008686,BRAND-E DIGITAL CONSULTANCY (OPC) PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,One Person Company,1500000.00,50000.00,2021-03-22,"No.1,First Floor, Othavadai Street,Pondicherry,Pondicherry,Pondicherry,605004-India",Unlisted,Active,pondicherry,Indian,72900,Business Services
U99999PY1985PTC000301,POONE PAPERS AND BOARDS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,1000000.00,0.00,1985-02-11,"64 PERUMAL KOIL STREETPONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1986PTC000401,DANLINEE PRODUCTS PVT. LTD.,ROC Pondicherry,Company limited by shares,Non-government company,Private,1000000.00,0.00,1986-04-07,"PLOT NO.14 TO 18RURAL INDUSTRIAL ESTATE   KOTTUCHERRY,KARAIKKAL,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
