CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U70200HP2025PTC011426,CODEFLIXLABS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,500000.00,10000.00,2025-02-12,"SIHARRI CHAMARAN 770,,SOLAN, Dharampur (Solan),,Kasauli,Solan,Himachal Pradesh,173209-India",Unlisted,Active,himachal pradesh,Indian,70200,"Community, personal and Social Services"
U71200HP2024OPC010577,GEOTECH ENGINEERS AND CONSULTANTS (OPC) PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2024-01-11,"maria niwas below BCS,near sanjay gandhi public,Shimla Urban(T),Shimla,Himachal Pradesh,171009-India",Unlisted,Active,himachal pradesh,Indian,71200,"Community, personal and Social Services"
U92490HP2018PTC007066,MAHADEV NEWS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2018-06-18,"VILLAGE DATTOWAL   P.O. NALAGARH,SOLAN,Solan,Himachal Pradesh,174101-India",Unlisted,Active,himachal pradesh,Indian,92490,"Community, personal and Social Services"
U93000HP2016PTC001154,DREAMFILL NETWORK MARKETING INDIA PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-02-18,"c/o Sohan Singh Thakur   VPO Kandrour, Tehsil Sadar,BILASPUR,Bilaspur,Himachal Pradesh,174004-India",Unlisted,Active,himachal pradesh,Indian,93000,"Community, personal and Social Services"
U93090HP2020PTC008079,DR. A.S. THAKUR MEMORIAL MULTISPECIALITY HOSPITAL PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1500000.00,600000.00,2020-09-09,"C/o Mr. Prem Pal Singh Thakur   Thakur Surgical & Maternity Nursing Home,Hamirpur,Hamirpur,Himachal Pradesh,177001-India",Unlisted,Active,himachal pradesh,Indian,93090,"Community, personal and Social Services"
U74920HP2022PTC009283,FOURFOX SECURITY MANPOWER SERVICES PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-04-21,"C/o VIPAN KUMAR V.P.O AMBOA WARD NO 1   tehsil Ghanari,,Una,Una,Himachal Pradesh,177204-India",Unlisted,Active,himachal pradesh,Indian,74920,Business Services
U74950HP1992PTC012222,NORTHERN CONTAINERS PVT LTD,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1500000.00,1230000.00,1992-04-24,"2 C INDUSTRIAL AREAMEHATPUR   DISTT UNA,HIMACHAL PRADESH,Himachal Pradesh,000000-India",Unlisted,Strike Off,himachal pradesh,Indian,74950,Business Services
U67102HP1986PTC006852,NAREN FINANCE AND INVESTMENT PVT LTD,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,500000.00,75000.00,1986-05-14,"HARI NIWASSANJAULI   SHIMLA,HIMACHAL PRADESH,Himachal Pradesh,000000-India",Unlisted,Strike Off,himachal pradesh,Indian,67102,Finance
U70200HP2012PTC000088,GABLES PROJECTS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-03-20,"HOTEL GABLES,   MASHOBRA,HIMACHAL PRADESH,Shimla,Himachal Pradesh,171007-India",Unlisted,Strike Off,himachal pradesh,Indian,70200,Real Estate and Renting
U70200HP2015PTC001061,JS KAJAL REAL ESTATE PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-10-15,"Thakur Nikka Ram Building   Totu Chowk,Totu Shimla,Shimla,Himachal Pradesh,171011-India",Unlisted,Active,himachal pradesh,Indian,70200,Real Estate and Renting
