CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01100DN2021PTC005647,EDYRO PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2021-01-20,"204, Yogi Complex, Near Fire Brigade   Amli,Silvassa,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,01100,Agriculture and Allied Activities
U01111DN2008PTC000275,UDAY PLANTATION PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2008-02-19,"GALA NO.105, EVEREST INDUSTRIAL ESTATE,   NEAR 66 KVA POWER SUB STATION, AMLI,,SILVASSA,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,01111,Agriculture and Allied Activities
U17119DN1993PTC000057,TANU TEXTILES PVT.LTD.,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000.00,0.00,1993-12-29,"C/O,SHREE KRISHNA POLYESTERLTD,SAMARVANI,VILLAGE,   SILVASSA.(U.T)HAVELI.,SILVASSA.(U.T)HAVELI.,Dadra & Nagar Haveli,000000-India",Unlisted,Under process of striking off,dadra & nagar haveli,Indian,17119,Manufacturing (Textiles)
U17120DN2008PTC000288,EKVIRA AGRI TEXT PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,0.00,2008-10-22,"SURVEY NO.876/1/3 PLOT 18, ARVIND CO.OP HSG SOC   BAVISA FALIA ROAD, NEAR PRAMUKH VATIKA A,MLI,SILVASSA,Dadar & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Strike Off,dadra & nagar haveli,Indian,17120,Manufacturing (Textiles)
U17120DN2010PTC000332,AASHISH POLYYARN PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2010-06-29,"SURVEY NO. 119/6/2, VILLAGE : SILLI   SILVASSA, D & N.H. (U.T.),SILVASSA,Dadra & Nagar Haveli,396230-India",Unlisted,Strike Off,dadra & nagar haveli,Indian,17120,Manufacturing (Textiles)
U01403DN2008PTC000268,BAJRANG FARMING PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2008-02-06,"Gala No. 106, Everest Industrial Estate, Near 66   KVA Power Substation, Amli, Silvassa,SILVASSA,Dadar & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,01403,Agriculture and Allied Activities
U78300DN2023PTC005811,REDIANT FACILITY SERVICES INDIA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,500000.00,100000.00,2023-12-28,"A-501, Pramukh Sneh, Samarvani,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,78300,"Community, personal and Social Services"
U67190DN2017PTC005526,STAR PROFESSIONAL MANAGEMENT CONSULTANCY PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-08-29,"288, LANDMARK,   BUILDING A-2, TOKARKHADA,,SILVASSA,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,67190,Finance
U70100DN2006PLC000191,DOMINA INFRA LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Public,500000.00,500000.00,2006-03-14,"Gala No.106, Everest Industrial Estate,   Near 66 KVA, Power Substation, Amli,Silvassa,Dadar & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,70100,Real Estate and Renting
U15490DN2021PTC005694,WWC FOODS AND BEVERAGES PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-12-06,"SHOP B RAJDEEP COMPLEX   KILVANI NAKA,SILVASSA,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,15490,Manufacturing (Food stuffs)
U19209DN2024PTC005824,SHREE RAM PETROTEX PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-08-20,"Survey No.383/1/1, &,383/2/1, Galonda,,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,19209,"Manufacturing (Metals and Chemicals, and products thereof)"
U72900DN2020OPC005629,PINNACLE 26 MOBITECH (OPC) PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2020-10-13,"Shop No. F-2, Saffron Heights,   First Floor, Athal Survey Number 30/1/2,, Athal,Silvassa,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,72900,Business Services
U24110DN2010PTC000420,UIC CORPORATION PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,200000000.00,130000000.00,2010-08-12,"Dadra and Nagar Haveli, Survey No. 285   Main Khanvel Kherdi Road, Kherdi,,Silvasa,Dadar & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Under Liquidation,dadra & nagar haveli,Indian,24110,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909DN2021PTC005685,MYMOBILE CLUB PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-10-14,"SRV No- 1/2/2, Shop No. 287 and 288, Second Floor   Bldg. No.�x80x93 A2, Landmark Tokarkhada,Silvassa,DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,51909,Trading
U29100DN2007PTC000238,AVERA MACHINERY PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000.00,100000.00,2007-02-26,"Gala No.108, Everest Industrial Estate,   Near 66 KVA, Power Substation, Amli,Silvassa,Dadar & Nagar Haveli,Dadra & Nagar Haveli,396230-India",Unlisted,Active,dadra & nagar haveli,Indian,29100,Manufacturing (Machinery and Equipments)
