CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U74999JK2022PTC013917,PHONECRAFT ADVISORY PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,20000.00,2022-10-21,"C/O DANISH GANI RAH, HABBA KADAL   DRABIYAR, QAZI MASJID,SRINAGAR,Srinagar,Jammu & Kashmir,190002-India",Unlisted,Active,jammu & kashmir,Indian,74999,Business Services
U15142JK2002PTC002211,VALLEY OIL MILLS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,3000000.00,3000000.00,2002-05-09,"PHASE 1, SIDCO INDUSTRIAL COMPLEX, JAMMU   JAMMU,JAMMU,Jammu & Kashmir,191123-India",Unlisted,Active,jammu & kashmir,Indian,15142,Manufacturing (Food stuffs)
U15400JK2013PTC004017,EVOLYM FOODS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2013-10-09,"KASHU MOHALLA   TAILBAL,SRINAGAR,Srinagar,Jammu & Kashmir,191121-India",Unlisted,Strike Off,jammu & kashmir,Indian,15400,Manufacturing (Food stuffs)
U15490JK2015PTC004320,HIMALAYAN ANCIENT FOODS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,100000.00,2015-02-05,"Near SBI,Jammu,Jammu,Jammu & Kashmir,181133-India",Unlisted,Active,jammu & kashmir,Indian,15490,Manufacturing (Food stuffs)
U41001JK2024PTC016235,ZAFFRON CONSTRUCTION CO PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-06-28,"C/O Bashir Ahmad Bhat,Kandizal, Kakapora,Pulwama,Pulwama,Jammu & Kashmir,192301-India",Unlisted,Active,jammu & kashmir,Indian,41001,Construction
U42101JK2024PTC016713,MNS INFRACON PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-12-10,"C/O MUKHTAR AHMAD SOFI,PANTHA CHOWK,Srinagar,Srinagar,Jammu & Kashmir,191101-India",Unlisted,Active,jammu & kashmir,Indian,42101,Construction
U42102JK2023PTC014405,DESSA VALLEY CONSTRUCTION PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-04-03,"Ward No. 06, Durga Nagar,Doda,Doda,Doda,Jammu & Kashmir,182202-India",Unlisted,Active,jammu & kashmir,Indian,42102,Construction
U42900JK2024PTC016447,AROOBA ELITE MANPOWER & CONSTRUCTION PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,50000.00,2024-08-31,"C/O GH QADIR MALIK,KRALPORA BANDIPORA,Bandipora,Baramulla,Jammu & Kashmir,193502-India",Unlisted,Active,jammu & kashmir,Indian,42900,Construction
U43299JK2023PTC015200,HEBER HIGHTECH INNOVATIVE ENGINEERING & INFRASTRUCTURE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-10-25,"WARD NO. 74  RAHIM ABAD,BATHINDI,Jammu,Jammu,Jammu & Kashmir,181152-India",Unlisted,Active,jammu & kashmir,Indian,43299,Construction
U43299JK2024PTC016281,HAVENHOLD DEVELOPMENTS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-07-11,"SOLINA BAZAR,Srinagar,Srinagar,Jammu & Kashmir,190009-India",Unlisted,Active,jammu & kashmir,Indian,43299,Construction
U43299JK2025PTC016892,SHAHEHAMDAAN CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,10000.00,2025-01-24,"C/O ABDUL GAFFAR MIR,MANZPORA KHYMBER JK,Kashmir University,Srinagar,Jammu & Kashmir,190006-India",Unlisted,Active,jammu & kashmir,Indian,43299,Construction
U65923JK1995PTC001464,MALHOTRA FINANCE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,90000.00,1995-07-12,"BUS STAND R.S PURA,JAMMU.,JAMMU AND KASHMIR,Jammu & Kashmir,000000-India",Unlisted,Strike Off,jammu & kashmir,Indian,65923,Finance
U65993JK1981PTC000487,SEAGUL INVESTMENTS AND TRADING PRIVATE LIMITED.,ROC Jammu,Company limited by shares,Non-government company,Private,10300000.00,10005000.00,1981-07-21,"127, Mohalla Afghana   Jammu,Jammu Tawi,Jammu,Jammu & Kashmir,180001-India",Unlisted,Strike Off,jammu & kashmir,Indian,65993,Finance
