CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U92419MN2021PTC014361,MESO TV PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,20000.00,20000.00,2021-08-29,"C/O KANGHUJAM MEGHA SINGH,   NINGOMBAM MAKHA LEIKAI, IMPHAL WEST,IMPHAL,West Imphal,Manipur,795003-India",Unlisted,Active,manipur,Indian,92419,"Community, personal and Social Services"
U92490MN2016PTC013495,KANGLEIPAK SPORTS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2016-10-14,"MI Road Community Hall   Ningombam Mayai Leikai,Thoubal,Thoubal,Manipur,795138-India",Unlisted,Active,manipur,Indian,92490,"Community, personal and Social Services"
U93090MN2017PTC013526,SIROI FINANCIAL CONSULTANCY PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,15000000.00,5000000.00,2017-05-01,"2nd FLOOR,TAMPHA EBEMA BUIDING,MG AVENUE   THANGAL BAZAR,WEST IMPHAL,West Imphal,Manipur,795001-India",Unlisted,Active,manipur,Indian,93090,"Community, personal and Social Services"
U93090MN2017PTC013535,ORIMAX ADVISORS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-05-29,"PATTA NO. 2042   AREA .0200 HECTARE OF SEGA ROAD KONJENG,HAJARI LEIKAI IMPHAL WEST,West Imphal,Manipur,795001-India",Unlisted,Strike Off,manipur,Indian,93090,"Community, personal and Social Services"
U93090MN2019PTC013936,WORKCRUX PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,2350000.00,2350000.00,2019-08-29,"17 THOUDA BHABOK LEIKAI IMPHAL   TIDDIM ROAD NEAR SANGAI EXPRESS,WEST IMPHAL,West Imphal,Manipur,795001-India",Unlisted,Active,manipur,Indian,93090,"Community, personal and Social Services"
U74910MN2019PTC013915,UNITEDNAGA AGRO MART PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-08-01,"C/O Eloni, Mao-Maram Makhel   Mao Senapati,SENAPTI,Senapati,Manipur,795150-India",Unlisted,Strike Off,manipur,Indian,74910,Business Services
U01100MN2020PTC014047,MANGJIL AGRO FARMERS PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,800000.00,2020-02-05,"SALAM SORIJINI DEVI, D/O. S. N. SINGH   2ND FLOOR, URIPOK NAOREMTHONG LEIKAI,IMPHAL WEST,West Imphal,Manipur,795001-India",Unlisted,Active,manipur,Indian,01100,Agriculture and Allied Activities
U01100MN2020PTC014099,LAMJING MEIRA FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,100000.00,2020-07-06,"G-1, TOP SIMPHAL MAKHA   LEIKAL WAMGOI, IMPHAL WEST,IMPHAL,West Imphal,Manipur,795009-India",Unlisted,Active,manipur,Indian,01100,Agriculture and Allied Activities
U01100MN2022PTC014559,SUSMEITEI FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,500000.00,2022-05-06,"C/o URIKHIMBAM SHYAMKUMAR MEITEL   KAKCHING SUMAK LEIKAI,Thoubal,Thoubal,Manipur,795103-India",Unlisted,Active,manipur,Indian,01100,Agriculture and Allied Activities
U62013MN2024PTC015123,DEXNET TECHNOLOGIES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-07-10,"CHANGANGEI MAYAI LEIKAI,IED-II,Imphal,imphal west,Manipur,795001-India",Unlisted,Active,manipur,Indian,62013,Business Services
