CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U15549LD2022PTC024326,ISLE FOODS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-01-25,"ISLE FOODS PVT LTD ANDROTH ISLAND LAKSHADWEEP   Lakshadweep LD 682551 IN,LAKSHADWEEP,Lakshadweep,Lakshadweep,682551-India",Unlisted,Active,lakshadweep,Indian,15549,Manufacturing (Food stuffs)
U55101LD2021PTC024322,BANGARAM INTERNATIONAL BEACH RESORTS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-01-22,"AKKARA HOUSE, NEAR POST OFFICE   KAVARATTI ISLAND, U.T OF LAKSHADWEEP,KAVARATTI,Lakshadweep,Lakshadweep,682557-India",Unlisted,Active,lakshadweep,Indian,55101,Trading
U45309LD2020PTC024317,JESERI BUILDERS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-03-18,"VDP 171/4   PALLM MOHAMMAD HAJI COMPLEX,NEAR POST OF,FICE,KADAMATH,Lakshadweep,Lakshadweep,682556-India",Unlisted,Strike Off,lakshadweep,Indian,45309,Construction
U52100LD2020PTC024318,ILE GOLD AND DIAMONDS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,200000.00,2020-04-15,"97/8B, Shop Near Arakalappali   Kacheri Junction,Kavaratti,Lakshadweep,Lakshadweep,682555-India",Unlisted,Active,lakshadweep,Indian,52100,Trading
U92410LD2022PTC024328,WHITESANDS WATER WORLD PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,100.00,2022-06-29,"C/o SUBAIDABI AKKARA, AKKARA HOUSE   NEAR POST OFFICE, KAVARATTI ISLAND,KAVARATTI,Lakshadweep,Lakshadweep,682557-India",Unlisted,Active,lakshadweep,Indian,92410,"Community, personal and Social Services"
U64200LD2020PTC024319,DHMMAKS BROADBAND PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-08-19,"BUILDING NO.73, WARD NO.5,   Sedivalu, Village, Minicoy,,Lakshadweep,Lakshadweep,Lakshadweep,682559-India",Unlisted,Active,lakshadweep,Indian,64200,"Transport, storage and Communications"
U74999LD2020PTC024321,MOULANA TRADING AND CONTRACTING PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,10000.00,2020-10-23,"WARD7BLOCK4KEELAILLAMHOUSESHAASENTER   PRISE NEARNOUSHADSTUDIOSOUTHSIDEPREMISES,KAVARATTI,Lakshadweep,Lakshadweep,682555-India",Unlisted,Active,lakshadweep,Indian,74999,Business Services
U18109LD2020PTC024316,KAKKACHI PREMIUM PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-02-18,"VDP171/4 PALLM   MOHAMMAD HAJI COMPLEX,NEAR POST OFFICE,KADAMATH,Lakshadweep,Lakshadweep,682556-India",Unlisted,Strike Off,lakshadweep,Indian,18109,Manufacturing (Textiles)
U92100LD2022PTC024329,FATHAH MOVIE PRODUCTIONS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-10-11,"1ST FLOOR, ORGOLAK BUILDING   WARD 6, KILTAN ISLAND,LAKSHADWEEP,Lakshadweep,Lakshadweep,682558-India",Unlisted,Active,lakshadweep,Indian,92100,"Community, personal and Social Services"
U41001LD2023PTC024403,OCEAN EMPEROR PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-09-05,"NO.-613, POWER HOUSE ROAD,,NEAR JUMA MASJID,,Lakshadweep,Lakshadweep,Lakshadweep,682557-India",Unlisted,Active,lakshadweep,Indian,41001,Construction
