CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U01100TR2021PTC014028,GANDACHERRA FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,10000.00,2021-12-09,"C/o Ananta Kumar Reang Village Thanarai   Para, PO Bullongbasa, PS,Gandacherra,Dhalai,Tripura,799284-India",Unlisted,Active,tripura,Indian,01100,Agriculture and Allied Activities
U74999TR2016SGC013499,AGARTALA SMART CITY LIMITED,ROC Shillong,Company limited by shares,State government company,Public,10000000.00,1000000.00,2016-11-18,"1st Floor, U.D Bhawan, Shakuntala Road,   beside Rabindra Shatabarsiki Bhawan,,Agartala,West Tripura,Tripura,799001-India",Unlisted,Active,tripura,Indian,74999,Business Services
U74999TR2021PTC013900,EASTMOUNT COMMUNICATIONS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-04-07,"C/O SUDHAN DEBNATH, KUNJABAN NEAR   CIRCUITE HOUSE, ABHOYNAGAR, WEST TRIPURA,AGARTALA,West Tripura,Tripura,799005-India",Unlisted,Active,tripura,Indian,74999,Business Services
U74999TR2022OPC014156,XENODEB MARKETING (OPC) PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,One Person Company,10000.00,10000.00,2022-11-18,"96, Badharghat Matri Palli Town, Gram   Badharghat, Ward No 26 P.O Siddhi Ashram,Agartala,West Tripura,Tripura,799003-India",Unlisted,Active,tripura,Indian,74999,Business Services
U01131TR2024PTC014432,TRIPURASUNDARI KRISHIKALYAN PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-07-10,"C/O PRAMOD CHANDRA PAUL,,BISHALGARH, CHESRIMAI,Bishramganj,West Tripura,Tripura,799103-India",Unlisted,Active,tripura,Indian,01131,Agriculture and Allied Activities
U01500TR2023PTC014226,UNAKOTI FARMERS PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,340000.00,2023-05-25,"c/o-Shribasg Das,,Chandipur,Unakoti,Samrurpar,North Tripura,Tripura,799277-India",Unlisted,Active,tripura,Indian,01500,Agriculture and Allied Activities
U01500TR2023PTC014234,KUMARGHAT FARMERS PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,295000.00,2023-06-02,"C/o-Sanat Debnath ,,Satsangapara , Ganganagar,Rajkandi,North Tripura,Tripura,799290-India",Unlisted,Active,tripura,Indian,01500,Agriculture and Allied Activities
U01611TR2025PTC014525,YARWNG ORGANIC FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2025-03-10,"S/O-Sarbajoy Reang,84,Chaduya para,Bishramganj,West Tripura,Tripura,799103-India",Unlisted,Active,tripura,Indian,01611,Agriculture and Allied Activities
U63022TR2004PTC007547,TRIPURESWARI COLD STORAGE PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,5000000.00,300000.00,2004-09-30,"KAMALA BHABANNETAJI SUBHAS ROAD   AGARTALA,TIRPURA,Tripura,000000-India",Unlisted,Strike Off,tripura,Indian,63022,"Transport, storage and Communications"
U10799TR2025PTC014498,KENEFIX INDUSTRIAL PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,500000.00,2025-01-21,"KB/16-17/12, KISHOREGANG,Kakranan,South Tripura,Tripura,799105-India",Unlisted,Active,tripura,Indian,10799,Manufacturing (Food stuffs)
U67120TR2010PTC008308,SURJYA KUMAR BANIK CAPITAL PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2010-08-17,"GANGAIL ROAD   DAS PATTY,AGARTALA,Tripura,799001-India",Unlisted,Active,tripura,Indian,67120,Finance
U15204TR1998PTC005627,TRIPURESWARI DELICIOUS PRODUCTS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,6500000.00,400000.00,1998-12-21,"BARJALATRIPURA WEST   AGARTALA  WEST,P S  AIRPORT POLICE STATION TR,West Tripura,Tripura,799001-India",Unlisted,Active,tripura,Indian,15204,Manufacturing (Food stuffs)
U15410TR2013PTC008407,SBP FOODS & BEVERAGES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-08-29,"47 , P.W.D ELAKA   KAZIRGAON,KAILASHAHAR,North Tripura,Tripura,799277-India",Unlisted,Strike Off,tripura,Indian,15410,Manufacturing (Food stuffs)
U15490TR2017PTC013537,DEBBARMA FOOD AND BEVERAGES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,100000.00,2017-11-10,"House No.060760, Near Natun Pally,   Krishna Nagar, Ward No -14, Agartala,Agartala,West Tripura,Tripura,799001-India",Unlisted,Active,tripura,Indian,15490,Manufacturing (Food stuffs)
U43299TR2024PTC014372,NORTH EAST SOIL TESTING PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,150000.00,2024-03-21,"C/O HARILAL DEBNATH, UJAN,ABHOYNAGAR, AGARTALA,West Tripura,West Tripura,Tripura,799005-India",Unlisted,Active,tripura,Indian,43299,Construction
U22199TR2023PTC014214,AGARTHALA NATURAL RUBBER & CHEMICALS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,15000000.00,5000000.00,2023-04-19,"WARD NO. 29, HOLDING NO. 472, HOUSE NO 294505,JOGENDRA NAGAR, BANKUMARI NATHPARA,West Tripura,West Tripura,Tripura,799010-India",Unlisted,Active,tripura,Indian,22199,"Manufacturing (Metals and Chemicals, and products thereof)"
U22209TR2024PTC014482,APRICON INDUSTRIES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,200000.00,2024-11-30,"C/O KRISHNA PADA SAHA,Panchamukh,Sadar,West Tripura,Tripura,799003-India",Unlisted,Active,tripura,Indian,22209,"Manufacturing (Metals and Chemicals, and products thereof)"
